"rating","day","blog","text"
"Liberal",290,"tp","ago ago american american april argu argument august believ better better bush bush bush bush bush bush bush buy consist continu countri debat debat declar differ direct direct distanc econom econom economi economi economi eight elect fight final find firm found four four give good good gop great great happen hasn haven howev isn januari john last long lot major make make make mccain mccain mccain mccain mccain mccain mccain mccain name near new new next numer overal period polici polici poll presid presid pretti primari progress progress prosper public push raz releas releas said said seem sen similar spin state state survey tell thing think time time time today tuesday viewer watch watch well well work work wors year year year yesterday"
"Conservative",264,"at","academ action affair age aim along along alway american american american among among anoth antiamerican antiwar appropri approv ask away battl believ bodi book book bring call campaign can claim class class class coalit combat committe confront connect construct coupl cours cours danger david day day day dead decid defeat degre demonstr demonstr demonstr describ devot die die display display display doubt earth edit enabl encourag enemi enough even even everi everi everi explicit face fail famili famili featur featur feel field final first five foreign forth freedom friday friend gang given goe group harri harri harri help honor honor hope identifi imag indiana indiana indiana interest iraq iraq iraq islam journal kill last last least let lie like live live love made made make mani may mayb meanwhil measur memori memori memori memori memori mental mention might mind mine minor murder name near never note offic offic one one one one one one one one onlin oppos organ outrag pain pain pass peopl perhap permiss person piec place place plan point polici polit polit power presenc professor professor professor professor professor protect punish read read reader recal regard regard regret repres repres retreat return sacrific sad scienc seem servic servic servic servic session short singl smile soldier soldier soldier soldier speak state statement step still stori stori straight student student submit support surviv taken took trip truth unit univers univers use veteran walk war war way way week went west whose will will without without without word work world written wrote year yet"
"Liberal",359,"tp","accus acknowledg act advanc advis afternoon alreadi also anoth anoth applic april asid assist associ attempt attorney attorney author bear believ bill book brief broke bush bush bush bush bush bush bush came case case case chanc chanc charg cheney cheney cheney colleagu colleagu comment complet continu coordin couldn counsel counsel counsel cours dana decid decid decis declin deepli delay depart deputi despit develop dick distribut document document document don donat donat earlier effort ever ever execut fact fact fast father father fine first first first first five formal former former found furthermor given gone grant grant grant grate handl handl happen hire hous hous hous hous hous hous hous hous hous hous hous hundr immedi instanc instruct interview isn issu justic know know later lawyer leav left legal lender link made made manner matter may mean meet memo memori merit minor mortgag move nation normal normal number object object offic offici one one opportun opportun order order order order parti parti pass path per perhap persuad polit poor post prepar presid presid presid presid presid presid presid presid presidenti press privat procedur procedur procedur process proven pull push put qualifi quick rapid reaction real recent recess recommend remain report republican republican respons revers revers review review robert roger role role ronald room rush said said said said said say say secretari secretari secur sensit sent sentenc sign sign signatur sinc someon staff stand statement suffici suggest sure suspect swift terror text thousand time today told told took top top understand updat vet vice vice vice washington week whether white white white white white white white white white white whose will without without without wouldn year year yet yet"
"Conservative",78,"at","abl absolut accept accept accompani accord accord account accus achiev achiev across action action action action activ activ activ add address admiss admit adult advisor advisor advisor africanamerican agent agre agre agre aid aid alli almost almost along along alreadi also also alway alway amaz america america america america america america america america america america american american american among analysi anger anger anger anger anger anger angri angri announc anoth answer answer answer anyon anyon anyon anyth anyth anyth apolog appli arriv art ask ask ask associ attack attend attent avoid away away away back bad bad barack barack barack barack basic beat beauti began begin behind behind believ believ believ believ beyond beyond bigger bit bit bitter bizarr black black black black black black black black black black black black black blame blame blame blame blog blog board book book bound brief brilliant bring brown build build built built built built built buri calcul call call call call call came camp campaign campaign can can can can can can can can can can can can candid capit card care care career career career career carolina case caus caus caus challeng challeng challeng challeng chang chang chang chang chang charact charg chicago chief children choic christian church church church church church church church church church church church church claim claim claim claim claim class clear clear clear close coalit coalit code color combin come come come come come comfort comment comment comment commentari communiti communiti communiti communiti communiti compani compar compar comparison comparison comparison complex complex complex condemn conflict confront conserv consid consid content continu continu continu contradict controversi controversi convers convers core corner corpor corpor corpor corpor correct correct corrupt corrupt corrupt cost cost count countri countri countri countri countri countri countri coupl cours cours cours cours cours creat cri crime critic cultur current cut damn daughter day day deal dear declar democrat democrat demon describ destroy destruct detail didn didn dig disagre disagre disagre disagre discov discuss discuss dismiss dismiss dismiss dismiss distort distract doesn doesn doesn domest domin don done doubt dream dream dream drug due dump dynam earli east econom educ educ effort elector els encourag end enforc enforc enough enough enough entir especi ethnic ethnic evangel even ever ever ever everi everi everi everi everybodi everyth everyth evil exact exceed excel excus expect expect expect expens experi experi experi experi experienc explain explan explan exploit expos express express express extend extrem extrem eye fact fact fact fact fail failur fan far fashion father fault favor fear fear feder feel feel fellow felt figur fill film find find find find fire first first first first five florida focus folk follow food foreign form found found found found four frequent friend friend friend friend friend futur gate gave gave general generat get get get get girl give god gone good good good got govern govern govern govern great group group guy guy handl hang hanniti harri hate hate hate hatr head head health health hear hear heard heard help help help help help help help high highest highlight hillari histor histori histori histori histori hit hold hole hope hope hope hope hope hope host host host howev ideolog ignor ignor ill immedi immigr import improv includ includ independ infam inform insid inspir inspir inspir instanc instead instead interest interest interest interest interest interview introduc islam israel israel issu issu issu jeremiah jeremiah jeremiah jeremiah jeremiah jeremiah jeremiah jeremiah jeremiah jeremiah jeremiah jewish jim job job just just just just just just just just just just kid kill know know know know know know known lack land larg larg larg last last last later law leader learn least leav leav led left legaci legitim less less let liber liber liber liber liber liber lie lie lie lie life light like like like like like like like like like like like limbaugh limit line listen littl live live live live lobbyist locat logic logic logic long long longer look look look lot love love low made made made made made made made made major major make make make make man man man mani mani mani mani mani mani mani mani mani mccain measur media media meltdown member member member memori memori men mention mention mere messag middl middl might mind minor miss miss mistak mistak month moral much much much much must must must must nation nation need need need need need negoti neighbor neighbor never never never new news next nice nice none nonsens note noth noth noth noth notic now now now now now now now number obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama obama object obscur obsess obvious occas occasion octob offic often okay old old old old one one one one one one one open open oper opposit ordinari origin other other other other outrag outrag overcom oversea page park part part part part part parti pass passag past past past pastor pastor pastor pastor pastor pastor pastor pastor pastor pastor pastor peopl peopl peopl peopl peopl peopl peopl peopl peopl peopl peopl peopl perceiv perfect perhap person philadelphia pick place plain planet play play play play point point point point point polic polici polici polici polit polit polit polit polit polit polit politician politician politician poor pose posit posit possibl power practic present present presid presid pretti previous price privat privat probabl problem problem problem problem problem problem problem proclaim profound profound profound progress proper propos prove public public public public purpos purpos purpos push put put question question question question quick race race race race race race race race racial racial racial racial racial racial racial racism racism racism racism racism racism racist racist radic radic radic radio radio rais rais rais reaction reagan reagan reagan real realiti realiz realli realli realli reason reason recent recent reflect regular regular relat religi remark remark remark remark remark remark remark remind report requir resid respect retreat return reverend reverend reverend reverend reverend reverend revers revers revolut revolut rhetor rhetor rich rick right root round routin run run run run run run rush said said said said said said said sat sat say say say say say say say say say school sean second see see see see see see seem seen sen senat senat sens servic servic sever sever shape ship shop shop show show show silli similar similar simpli simpli simpli simpli simpli sinc singl sit sit social social societi societi societi societi solut solv solv solv solv solv solv solv someon someth sorri sort sought sound sound south speak speak special speech speech speech speech spoke spoke spread state state state state statement statement steve still stop storm street strong strong strong strong stun stun subject subject succeed sudden sudden suffer support sure sure surfac system taken talk talk talk talk talk tap tape team televis tell tell tell tend term text theme theme thing thing thing thing think think think think throw ticket time time titl titl today today today togeth told tomorrow total touch travel tri tri tri true truth truth tune typic ultim understand understand union uniqu unit unit uniti unusu upon use use use utter utter utter version video video view view view view view view violenc visit voic vote voter walk wall want want washington way way week week welfar welfar welfar well well well well well well went went whether whether white white white white white white white white white white white white white white white whole will will will will will will will will will will wind within within within woman woman woman woman won word word work work work work work world world world world world world world world wors wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wright wrong wrong year year year year year year year year yes yes yes yes yet young"
"Liberal",305,"db","accord ago almost american american american american american annual annual appreci argument arriv august avail basic begin behavior beyond big brother car chang collaps combin come confid consum consum consum consum consum consum consum consum couldn credit cut data data debt debt declin demand economi economist edit effect even even fall fell fell fell full general good grow happen hasn hear home howev incom juli kept know last late level like like linktocommentspostcount live long look mean mention month much need negat never number number percent percent percent percent percent postcounttb quarter quarter quarter rate rate rate real real recess recess report right rise save save septemb sever sharp show signific sinc singl somehow sometim spend spend spend still stock stuff suffer tell third third though thursday time time told true twice valu way worri wors"
"Conservative",307,"ha","ago ahead almost almost almost among barack battleground begun break call closer column column come correct decad democrat democrat disturb drop earlier elect entir everi exact first gone good got gotten group hasn hasn high ill independ interest interest intern john john kerri know lead lead led level like made made make may mccain mccain mccain mccain mccain mind mind moment much nation nation never news notion now now now now now obama obama obama obama obama obama obama obama obama occupi particular period point poll pollster pollster potenti problem question race relat republican result right right right sale see see show show slight spot state still still team today trend tuesday tuesday tuesday two two undecid undecid undecid undecid vote week will wind won worri wrote"
"Conservative",225,"ha","accept accord across actual affair afghanistan allow alreadi also barack base best better bipartisan bother campaign candid candid centrist centrist chang chang choic choic chuck circumst complet convent cover credibl credibl critic critic democrat democrat develop disappoint effort endors endors especi especi expect expect fall foot forc foreign genuin get given given gop gotten hand happen heat hero immedi independ instead intend invit iraq iraq iraq job john last left left look lot make mani march mate mate mccain mccain mccain mccain mccain might militari moment moment moment month month name need obama obama obama obama obama obama obama obama obama one past perhap plenti polici polici polici potenti power present probabl provid quiet quiet reach readi real record remain republican republican republican run run run run say say screen seem senat senat someth stay steal strike sudden sudden support take team term term thing though thought today today track tri trip turn two two usa use war war way will will will won work year"
"Liberal",193,"tpm","ago ahead ahead air alien also amend appeal appeal appear associ attempt award barack barack barack barack began best bet bush campaign can candid case challeng chanc chang chris clinton colorado come congressman credenti critic danger debat defens deliv dem dem democrat democrat democrat direct elect elect elector elector energi energi fair favor florida florida former former fox front futur georg get give good gop gop hall hard heavili hillari hillari hillari hispan hispan hit hold hous howard huge immigr john john john june just knowledg larg last lead lead lead lead lean legisl local main main major make make make mccain mccain mccain mccain mccain mccain mccain mccain mccain meanwhil meanwhil mexico might miss miss miss miss month month narrow nation nevada new new new new new news night none note obama obama obama obama obama obama obama obama obama obama ohio ohio ohio oppon part parti pass past patriot plus poll poll poll poll poll pollster presid presid press proven race rasmussen rate rate recent recent recount red rep report report report republican republican republican republican run safe said seat secur secur sen senat senat septemb set share show sinc skip speaker spokesman spot state state state sustain swing taken talk team today today tom tom tom town two use vast vet vet vet vet vice victori visit visit visit vote vote vote vote vote vote vote voter voter way will win win wing wisconsin wisconsin work work work work"
"Liberal",253,"db","accept afford afford air alway alway alway avoid back back back barack becom big bigger bill bit blood cabl call call campaign campaign campaign can can can can candid center channel class come compet complain convent deal democrat differ differ differ digbi digbyi enough face fight fine fought fox fox good got govern guess higher host insist interview interview interview keep keep keith king knew last leav leav less line linktocommentspostcount littl make make make might minimum miss monday monday msnbc msnbc much much much much network news next night noth number obama obama obama obama obama obama obama obama obama obama obama obama olbermann olbermann olbermann one one other part pay pay peopl percent plan plan plan player plus postcounttb prais presid presidenti pretti pretti promot rate reagan realli republican republican ronald run run said said said said said said say say second senat shout sit smart socialist someon sound sound speech speech stock stock straight succeed success success success tax tax tax tip toss transfer transfer tuesday two two two use wage want water wealthi well went wild will wonder word word writer"
"Liberal",16,"db","actual affair africanamerican africanamerican africanamerican africanamerican ago almost also among among analyst anoth anyth appar appeal appeal argument argument assumpt barack battl battl becom believ ben bet bigger bill bill bit black black black black black black black black black bottom bush bush bush call came came campaign campaign candid candid candid candid card carolina carolina case check clinton clinton clinton cnn constitu coupl cours credenti crucial crucial daili decad deep dem democrat democrat democrat democrat democrat democrat democrat depend despit digbi dollar done draw editor edward either elect elect elect elector elector elector emphasi enough equal equal even everyon exact exit father favorit fellow femal five florida florida florida fortun gave gender georg georgia goe goe gop gore group group group half half hampshir hampshir happen harri hate heart heart highlight hillari hillari hot hundr idea idea idea idiot illinoi immigr impli impli impress instead insult interest interest iowa issu jim john jon just just just just keep know ladi less let let like like like like like like like line line linktocommentspostcount littl lost lost lot lot louisiana made major major major make make make make man mani mani mani mani may mayb meant member men men men merit michigan michigan michigan might might mind mind minor minor missouri mitt nasti nation necessari need nevada nevada new new new nobodi north note notion now number obama obama one one oregon pander parti parti parti parti parti parti parti pennsylvania percent perhap perman play point point polit poll popul popul postcounttb presid presid presid presidenti presum primari put race real reason recount recount reduc refer reid republican republican resort ridicul right right romney said say say say see senat senat senat sens shift shock show singl six somehow someth son sort sort south southern special special state state state still stupid support support talk tell tell terribl thing thing thing think though threaten thus tie tim time total transform true typic union valid various version victori victori virtual vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote vote voter voter voter voter voter voter voter voter voter voter voter want want want want washington washington way white whole win win win win win wind wisconsin wisconsin wisconsin without without without without without woman woman woman women women women women women women won won word wrong wrong wrote year year"
"Liberal",278,"db","ago ago ahead aliv almost alreadi alway angel annual anoth anyon approach attack attack attack author award back bad base began biggest bolster bring build bush bush bush bush bush bush california call can career chanc china code come concern confid conserv consid content countri countri countri coupl crazi dark dead dead dead decad deliv die dinner diplomaci disappoint discuss doctrin doctrin doctrin doctrin doctrin dream earli encourag end enough even everyth evid express extraordinari fact fact familiar feel feel fight first first foundat four fox friday futur georg get get giuliani give got govern great guarante happen happen highest honor hostil hotel hous hous huge indic inevit instead institut intend iraq just just keep keep kick known last launch leav liber like like like limbaugh linktocommentspostcount live los lost low mainstream man marin martin may may mayb mayb mayb mayb mayb mayor militari million moment much must never new new next next normal notic notion novemb octob offic old one one one open organ peopl perfect persuad point polici polit postcounttb power preced predict predict present presid presid privat prolif prove quiet reach reagan reagan recal reject relat reli result revers right right ronald rudi rush safe said said sell sent septemb shock sign speech spirit still still strang stuff swift talk thing think think three time time today took troubl two unabl victori video vision voic wait wake war war war week week well well went white white whole will will will will world world world written year year york"
"Conservative",180,"ha","administr appear big border can can can can can challeng children clip come comment comprehens consum cours cours crap curious day decent demonstr depend despit domest economi emphasi enforc enough everi exit face fact fight first god guess human illeg immigr iraq isn issu just just know left legisl line littl mccain mccain minim near new next nice notori obama obama obama old one oppos overal paid pander pass past polit prioriti prioriti problem question reader realli reform remark repli right round said secur see see servic shift shut solv stop tell though today told took top top truth turn via wait wait way week will"
"Conservative",106,"at","abc abc abl accord aggress ago agre alan alter america america american anyway ask ask associ associ ayer back bad barack basi becom believ better bitter cabl candid candid caus chanc charl church circumst claim class clinton clinton clinton clinton comment comment comment confront connect credibl critic date debat debat debat debat debat debat debat debat debat debat debat democrat die difficult discuss dismiss doubt dynam econom either elect elit elit event exact expect expect expert face face face fact featur februari feel first first focus forum francisco gaff georg get get get gibson gibson give goe greater hard hillari hit hit home impact insur interest interest jeremiah kid larg last last last leader less like like like like lose made make make mark mention middl million mistak moder month mrs mrs much name network night night obama obama obama obama obama obama obama obama obama obama obama obama ohio ohio ohio opportun parti pass past pennsylvania plenti poll pose prepar presidenti prime probabl problem problem professor promis public question question question question race refer regard religion remain remark report respons result reverend rezko risk run run san scenario seen senat set short shown sinc sinc sinc sit small someth speech subject success televis terrorist therefor thing time time time time tomorrow tomorrow tough tough town treat typic univers unlik viewer visit voter want want well will will will will will will will will will will will will will william woman work wright wright wright year yet"
"Conservative",323,"mm","abandon accord act act action action action action addit administr administr admir affect allow allow allow almost alter although american appreci approach approv argu around ask asset asset asset assist assum author author auto auto avail back bail bailout bailout bank bank bank basi basic believ big billion billion branch bush bush bush busi can capit capit challeng clear clear clear clear climat commit commit compani concentr concern conclud confirm congress congress conserv constitut constitut continu contradict control corpor corpor cours danger data day dear deepli deficit deleg differ direct direct direct dollar draw duti duti earn econom econom econom econom econom economi economi effort emphas entir establish estim event execut execut exercis exercis expand favorit fear feder financi financi fiscal focus foreign found free free function futur futur futur futur georg goal good gop govern govern govern govern govern great guarante guarante help hero honor honor hostil hous huge hundr import import import inappropri includ includ industri instead institut intent intervent invest invest issu jeff jeff just know know larg law leadership less let limit limit limit line long loss made made make mani mani manufactur manufactur mark market market market market market massiv massiv may mind mislead money money move much must narrow nation nation nation nation need nonetheless notabl novemb now now obvious octob offici one one one oper oppos oppos order outlin outlin oversight packag part paulson paulson paulson paulson paulson peopl person plan plan plan plan plan plan pleas possibl power preced preced preced predict presid presid presid principl principl principl prior privat privat process program program provid public public purchas purchas purchas purchas purchas purchas purchas push quarter reason receiv recent recogn reflect relief remain repres repres request revers right right role said said sale scheme secretari secretari sector sector secur seem sen senat senat senat send separ serv session session set set signal similar sinc singl soon sound speak spend spend stabil stabil stake state state state state state statement status stick stimulus stock stock street strong struggl suffer surg swift system taxpay taxpay taxpay testimoni threaten three time time today trend tri tri trillion troubl troubl truli turn undermin understand unfortun unit unit unit unpreced urg urg urg use use virtual vital wall washington way way week well white whole will work work year"
"Conservative",43,"at","abroad accept access actual address address address advoc allow american american american american american amount amount analysi anyon appeal approach area articl behind buy call came campaign campaign campaign campaign campaign can can can can candid candid card caus choos citizen clinton clinton code come common concern contribut contribut contribut control countri crime current current democrat donat donat donat donat donat donat donat donat donat donor donor drop easi edward elect embrac end enforc essenti ethic even excus feder financ financ financ foreign foreign foreign gift gift given green guess hillari huckabe huge hundr idea illeg illinoi includ individu influenc inform institut iran iraq item januari john keep know larg laski law law led legal legitim less level live live long made mail major make make mccain mean michael million million million million need never new notion number number obama obama obama occupi one one onlin onlin oversea pack palestinian particular paul paul peopl permit perspect point possibl pull put question rais rais rais ran record releas rep report republican requir requir requir ron said said second secret seem senat senat senat shock show signific sinc sinc site site site small small small small sort state status sum sun syria tank term territori territori think third thousand tie today tri utter vast washington web web websit weigh whether will wish worri year york"
"Conservative",69,"at","across advantag anoth appear barack battl beat blunt came campaign campaign can case cast caucus caucus caucus caucus caucus chosen clinton clinton clinton clinton clinton contest convent convent convinc counti counti daughter day deleg deleg deleg deleg democrat effort enter everi extrem fill friday gain gain get hard help high hillari hillari hillari hold hour hundr husband keep last late later made mani margin might momentum mrs mrs must news nomin obama obama obama obama offici ohio organ outsid parti peopl prevail prove quick report saturday see senat senat show signal site site sought spring stake stake state state state super superior texa tuesday tuesday turnout victori victori victori victori vote vote wait way welcom wide will will will win"
"Liberal",247,"tpm","actual afternoon asid battleground battleground big buck bush bush campaign care career cash click confirm continu continu convent convent convent deliv deliv direct drop econom econom emphas emphasi emphasi end final five five georg gop gop health heavi histori hit hit hit imag independ issu issu late late list lobbyist look major mccain mccain mccain mccain mccain mccain messag michigan minnesota night night ohio paint pennsylvania polici rais readi reform releas secur seek seek site smith social special spokesperson start state state steve time tomorrow tomorrow tomorrow trade union updat volunt volunt volunt washington will will will will will will wisconsin work year yet"
"Liberal",257,"db","accus across address address address address admiss agenc aid also also also america anoth answer anyth anyth appli applic applic applic applic arizona ask ask astonish attorney attorney attorney ballot ballot ballot ballot ballot battleground becam behind best book bother box british broke bush came campaign campaign campaign campaign campaign can case certain certain challeng challeng chief chose citi claim clear close clue committe committe committe committe complaint connect copi correspond coupl court cover cover cover cover crime date decemb decid decid deliber demand democrat democrat democrat deni depart digbi direct direct direct director discov document doubt earlier effort effort elect elect elect elector email email everywher evid except execut featur februari fire form fraud fund get gop got got hundr husband illeg immedi includ inform intend intent investig involv involv item john john just karl keep knock know know last latest lawyer lead least least lie lie like linktocommentspostcount list list list list local local london lot made mail mail mail mail mail mail mail man massiv mccain mccain member might miss mistak name need network network never news news news news news night night note note now offic one one open oper oper paper part peopl perfect person place planet pleas poll post post post postcounttb potenti prepar presid presidenti press print print program prosecutor prosecutor question question quit reader real recal receiv refus refus refus regist remov replac report republican republican republican result revel robert roll rove rove rove said said said said said said scandal scandal see sen senat send side simpli smile staff state state state state state statement statement still still stori stori stori stuff support team tell testifi testimoni thank thousand tim tim time time told top tough toward transport tri tri turn type understand updat upset usa use vote vote vote vote voter voter voter voter voter voter voter wasn week went will win wisconsin wisconsin wisconsin wonder wonder write wrong wrote year yet"
"Conservative",100,"at","alon also america american american announc appear ask attend attent attitud attract august best best book book book campaign campaign carolina cbs claim clinton conduct conduct consider continu coverag credibl crucial day decemb domin drop drop drop dynam earli endors even event ever favor favor favor favor figur follow fox goe hampshir hampshir happen happen high higher impress iowa just later level list made maintain media member month month most nation nation negat new new news obama obama obama octob offic one opinion overwhelm peopl percent percent percent percent percentag perhap point polit polit poll poll poll popular popular popular posit presidenti primari primari prior prove ralli rate rate recommend recruit reflect regist report report respond sell seven show show show sign similar slight south staff star star state still still stump support survey survey survey swing televis televis televis three thus time today top toward trail viewer volunt voter"
"Conservative",294,"at","administr administr administr advis advis advis advisor air arm back barack bush buy can candid candid chanc chang committe credenti cross day debat defens democrat discuss endors endors especi establish even familiar first fit foreign foreign formal former former futur general get good gop ground high hope hous illinoi inclin interview job job john just laski level line listen littl make matter mccain mccain might militari monday monday nation new obama obama obama obama obama obama obama obama obama one open opportun parti perfect polici polici presid presidenti presidenti prison promis rank reach realist relat republican republican republican role role role said said said say secretari secretari secur seen senat senat sens servic someth staff state state struggl subject take tip today top top truth veteran want war washington whether whether white will will"
"Conservative",83,"ha","activist actual actual announc appear assert assumpt attent base base catastroph chang china climat cold compens comput constant continu cool cover coverag data data data data definit earth effect either error especi especi especi explain far far found fundament given given global global global global global global global haven heard ice ice impact increas increas increas industri just just kind lack launch less littl loss make mani media media model modern much never new new new note noth one outlet post predict predict predict previous produc proven rate rather receiv receiv regard releas releas relentless report report report report result return scare scienc search show show sinc sinc sold studi surpris surpris theori though throw time truth turn turn utter via warm warm warm warm warm warm washington water water water weather week year yet york"
"Conservative",359,"at","agent agent alaska alleg anyon assert case case center charg charg claim daili deni deni detail ever ever exchang explan fair fals father fbi fellow file file friend get govern govern grant immun immun immun immun involv judg latest learn letter letter list list list make march march new news now offer one page peopl peopl prepar promis promis promis prosecut prosecut prosecut prosecut prosecutor prosecutor report said scandal seem sen sen senat senat senat steven steven steven steven storm team ted ted testifi testifi trial trial true will wit wit wonder work written yesterday"
"Liberal",2,"db","abu abu activ address advantag africanamerican american analysi anoth anoth anyon appar appear back back back black brand break camera care clear click click click click click colleg come come compet comput comput concern connect correspond correspond coupl cours creat cultur cultur current cut cut debat debat debat debat depend deploy emerg equal even even everi everyon excel face film film film free got great great great guy hang hear heat hollywood human husband imagin imagin imposs imposs includ includ inspir intens intens involv iowa jack known leadership like like linktocommentspostcount look look look make make match minut moment moment movi much murder music narrat new news news odd one one order parent parti particip particular pictur pictur place place point polit portray portray post postcounttb previous primari profession race racism rare reaction region report respons saw say scene scienc screen second see senior shot shot shoulder shown sign singl situat someth sound speak stori stori strang struck student studi take take team tell texa texa think thought threaten tortur tortur tout twice two upon viewer viewer voic washington watch watch whatev whether will world world world"
"Liberal",157,"tpm","alway alway america american around back behind better campaign campaign campaign campaign campaign can can can candidaci candidaci caus clinton comment commit compar continu cours day day dear decid decis dedic deliv deliv democrat differ differ dollar drop email event ever everi everi everi everyon everyon exact express extend faith fight first first gave get hard help high hillari hillari hillari hold hous hundr import import incred intend intend issu keep keep keep kind knew know know last let life long made mani mccain meant messag million minut month month need never never nomine obama obama obama obama obama offer one otherwis parti parti past past peopl possibl possibl presid privileg promis promis promis promis public put race ralli republican rest run sacrific said said saturday saturday saturday say senat senat senat senat senat sent share shown shown simpli sincer small speak stake stand strength strong strong stronger support support support support support support support support task tell thank thank thought thousand throughout today today togeth tomorrow touch touch turn valu voic vow want washington white will will will will will win wit work work work world"
"Conservative",273,"at","abil aggress also also amend amend arrest arrog attack attempt believ belong benefit call camp campaign can case certain chang charg citizen conflict court cynic desir distort either elect enforc enorm everyon evid exampl first first fix free freedom get great hall hint honor incred inform initi initi innoc intimid intimid issu just kind know know law letter line littl made member member missouri never never nice obama obama obama offici old one one oppon particip piec polit polit prosecut prosecut prosecut prosecutor prosecutor prosecutor prove purpos purpos respect result send serv side sole speech speech stand stand statement statement stop support tactic take talk thing threat time tri truth truth truth truth twist version voter way welcom will"
"Conservative",256,"mm","abroad adam afghan ago aim alli america america america america american american among among anoth anoth anoth anoth april arm around ask ask attack attack attack attack attack avail barack begin behind behind believ believ beyond bin bin bin blame blame blame blame blame blame border buy california camp campaign can candid candid cast channel check children christian cite citizen citizen civil claim clear clip column come common communiti conspiraci countri countri cours court credit credit credit cynic damn decid depart despit destroy don edit educ effort either elit els end enemi establish european everi execut fall fan favorit favorit fbi feet fellow fill forget former found four four friend get get given global global global globe globe globe god govern govern great hate hate heard heart hero hire histori home home human hurt individu innoc intern invest iranian iraq islam israel israel israel job kill know laden laden laden larg leader left lie lie major make man margin market mass match mayb media media media men mere mexico mexico michell moham monitor morn murder muslim must must name name nation natur near necessari need need need network never new new new news newspap next nine note number number obama obama obama offer one one oper opinion opinion opinion option osama osama osama osama overal overwhelm palestinian palestinian part peac peopl peopl peopl percent percent percent percent percent percent player poll poll poll poll pollster poor presid presidenti product promot prompt propaganda purpos qaeda qaeda qaeda qaeda qaeda qaeda question rather realli realli recruit refer refus relat relat releas releas releas rememb repeat report respect respons respons reveal reveal said said scienc second second see septemb set set seven sever share share shock shot show someon someon someon someon south spirit steal still still still still strengthen strong succeed success suggest sunni survey survey tape team team team team territori territori terrorist terrorist terrorist texa tie time togeth told toss toward train two two understand unit urg usual victim video video video violenc vote want want war washington week week week well whose women world world world world world world world world world year year year york youtub"
"Conservative",2,"ha","actual administr ask ask back back back back back back behind care clarifi clinton combin coupl coupl day democrat don drive edward edward either either elector enough feet fight final finish forc forc get get get give handl help inevit iowa iowa iranian iraq iraq iraq iraq iraq isn job keep lead least leav leav leav like like make make militari militari mind much never new new new note now obvious plan plan plan plan plan plan plan polit polit pop possibl produc put qaeda qaeda readi real realli report right run secur sens sens simpl space stabl stand stop stori strateg strategi strategi strategist take though time violenc war watch whether withdraw within won worri worst year"
"Conservative",4,"at","almost alon alreadi also alter american analysi anybodi anybodi appeal behalf beyond big big bill bill bit boost buy call campaign can candid candid candid caucus cheney come committe complet conduct conserv contact contest coupl deleg describ develop dick director disappoint done either even ever fight figur find first forgotten former former fred fred front geraghti geraghti get give give given gop gop gop gop guess hampshir hampshir hampshir help ignor import includ inform interest interest iowa issu jim just last lay like link list may media member member member mention mitt name nation nation nation nation new new new newspap night note note offer offic open parti paul paul peopl peopl piec piec place polit poll potenti presid prevail primari race race read releas republican respons result richard richard rise romney romney romney romney romney ron said said saturday say scenario select senat set shock show slight spent spin spot stanc state state state state still straight support take talk thing thinker thompson thompson thompson thompson thompson thompson thursday top tuesday upcom valu various vice voter watch way wide will will win win win winner"
"Conservative",338,"mm","abl access across actual addit agre almost among announc argument assert attorney attorney back background bad bailout bailout bailout bailout believ better bill billion blog bond bring britain busi came can caus check class column columnist come communiti communiti communiti communiti compani consum corpor corpor critic dead demand democraci democrat democrat depart develop die don easili econom effect elect endless enterpris enterpris entir essenti essenti essenti essenti ever expans express face face fail feder feder feel feel feet financi find fine form free free free free fund fund general general get get give god gov govern govern govern govern governor hard help help independ industri industri inform interest intervent item job joint joke jon journalist keep keep last later launch leader legisl letter line local local local look look major march marriag massiv meant memo michell msm nation nation new new new news news news news news newspap newspap newspap newspap newspap newspap newspap newspap newspap next note notic now obvious octob octob offer offici onlin outlet outlin paper paper paper part pass pass paulson plan pleas politician post preserv press press press press press press pressur product product profit program propos provid public public public publish push push question rather read real real real realli record republican rescu rescu respons richard right rule save say school search secretari seek seek seem seen send sentiment servic servic seven share sit site someth sort sport stake stand stand state state state state statement step straight strength support support suppos talk taxpay taxpay territori think time time time town town treasuri turn two use want washington web week week week week well went worst wrote wrote york"
